Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
SAMD11P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD12	6	12	3	11	3	6	87	0	6	0	0	10	1	3	1	16	0	1	0
SAMD12-AS1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
SAMD13	3	0	1	2	1	2	0	3	0	0	2	5	0	2	0	3	3	40	18
SAMD14	11	8	8	3	25	6	24	37	10	4	9	11	11	8	8	9	12	21	3
SAMD15	20	25	18	8	32	16	38	97	16	28	45	20	14	15	17	33	22	15	7
SAMD3	1008	189	159	145	163	79	161	81	23	49	35	95	23	90	18	429	48	35	8
SAMD4A	68	42	381	163	32	24	1048	1760	798	285	1059	371	240	19	149	96	171	178	127
SAMD4B	7138	6669	6778	4897	12122	5095	7199	9267	2661	1861	2382	3490	1492	2603	2077	4158	2431	4207	2906
SAMD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
SAMD7	1	2	0	1	4	7	0	3	0	4	0	0	0	1	1	1	1	0	0
SAMD8	3527	3504	3189	6358	2540	2164	6220	6570	6554	1518	7182	7556	1207	1999	2421	2118	5022	2532	3461
SAMD9	2947	4425	6576	1506	2620	3166	760	3660	645	2505	1355	1005	331	610	737	2377	523	1546	758
SAMD9L	6140	9275	16067	6024	8441	5939	2156	7137	1779	5288	2348	1852	663	858	1696	3644	769	4512	761
SAMHD1	3410	1413	3153	1292	2003	797	1962	5380	590	4297	1486	2149	618	916	2511	3221	974	1104	241
SAMM50	1637	1709	1977	1019	3000	1853	1232	3714	821	1260	714	1142	576	1093	764	2115	641	1667	430
SAMM50P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMMSON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
SAMSN1	1507	1230	5012	611	1196	588	111	48	71	27	174	147	10	174	10	191	76	244	324
SAMSN1-AS1	50	25	3	17	49	2	1	0	1	2	2	4	0	1	0	1	7	7	7
SAP130	1422	1610	1561	2383	2967	1781	2714	3542	3203	1254	2681	2600	628	1172	864	1566	1847	2048	1652
SAP18	4456	4571	4048	7481	7807	4981	6279	7671	4730	3320	5216	6023	1901	4788	2477	3950	3268	6766	4024
SAP18P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAP18P2	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1
SAP18P3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SAP25	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SAP30	740	808	481	2869	2949	918	2623	1880	1253	1018	1794	2725	5032	1073	1234	1540	1262	685	223
SAP30BP	3968	5481	4706	6279	9652	6189	8722	12617	9309	3445	11102	11135	2836	5002	2371	5753	6337	7835	9998
SAP30L	3010	3796	2711	4541	6956	3151	3406	7716	1341	3637	2292	1651	1186	598	1537	4385	1140	1451	374
SAP30L-AS1	156	138	223	49	337	122	52	159	49	117	47	40	28	43	34	81	26	113	13
SAPCD1	224	233	201	523	311	240	874	961	452	266	541	359	181	203	153	169	410	393	210
SAPCD1-AS1	18	12	20	11	21	6	31	112	21	58	24	19	14	16	15	9	15	29	10
SAPCD2	473	467	534	517	2517	1605	177	495	220	390	60	188	86	109	82	234	55	894	203
SAPCD2P1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAPCD2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAPCD2P3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SAPCD2P4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAR1A	5102	4370	4354	8607	5482	3918	11790	10225	9382	1776	9847	11257	1504	4857	2330	2656	6116	7503	8127
SAR1AP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAR1B	2427	1782	2653	2756	2403	1591	2387	3502	2247	1891	2870	1570	710	860	1171	1767	1591	1870	815
SAR1P1	1	1	3	0	1	0	0	0	2	1	0	1	0	2	0	0	0	1	1
SAR1P3	0	0	0	1	0	0	0	0	2	0	1	2	0	0	0	0	0	1	0
SARAF	14714	11918	10516	24235	21998	10348	18346	16627	13742	7241	23900	18528	6058	8125	8871	11861	11548	12399	19454
SARDH	49	67	22	107	72	45	250	445	152	11	612	243	125	87	142	1102	122	591	121
SARM1	701	444	157	328	157	359	972	1669	865	871	690	435	306	216	836	1760	366	433	266
SARNP	50	54	55	48	108	40	76	60	32	22	38	32	18	38	13	27	25	47	32
SARS	4242	5287	4973	3550	10651	5208	3804	8415	2536	3225	2941	3501	1477	2882	2290	4775	2151	4059	1532
SARS2	153	108	193	86	551	266	150	177	60	43	95	78	60	89	47	117	58	238	145
SART1	4509	4886	4709	5937	12989	5751	7891	8606	5251	3479	4947	5383	1646	3647	1741	4660	3055	7165	3886
SART3	2751	4256	3854	2246	7987	4747	2419	7623	1317	2464	2657	2345	840	1406	1478	3600	1383	2264	1525
SASH1	3	7	5	2	2	0	7	2	0	2	2	5	0	3	0	32	0	6	5
SASH3	11415	16223	13958	12371	26440	11567	36517	52556	41699	18151	29367	42485	9253	21831	16298	21972	26191	19776	4422
SASS6	625	774	603	865	905	889	853	1930	380	646	482	403	246	245	426	607	425	424	253
SAT1	7881	5192	6178	31693	10029	6062	16324	14157	17505	10389	26806	38878	14784	40234	9950	14526	12810	8973	8067
SAT2	2223	2394	2166	2741	4759	2580	1497	4434	2269	1214	2675	2728	886	1942	1105	2291	1731	1716	905
SATB1	14368	15064	16576	15842	25850	11630	16862	20268	5298	6344	10767	10614	4865	5324	4878	9844	8896	22454	11176
SATB1-AS1	1597	1451	942	1919	1793	1187	1237	1347	275	755	607	556	334	229	364	841	546	1811	838
SATB2	77	16	51	245	73	165	38	0	15	3	0	2	17	1	1	38	1	122	20
SATB2-AS1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
SATL1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
